region,year,avg mark from hist
Житомирська область,2019,134.19155437167032
Івано-Франківська область,2019,135.02527025129862
Львівська область,2020,141.27651144154572
Херсонська область,2020,131.7137818090199
Полтавська область,2019,135.865433769358
Миколаївська область,2019,131.9119197243057
Київська область,2019,136.6020141250327
м.Київ,2019,140.67581439912402
Волинська область,2020,135.28752515090542
Вінницька область,2019,134.4660043093129
Дніпропетровська область,2019,134.26583954833762
Дніпропетровська область,2020,131.92815226011103
Харківська область,2020,135.19580970384374
Донецька область,2020,131.56607400288323
Сумська область,2020,134.7534175909208
Кіровоградська область,2019,135.65520882214923
Закарпатська область,2019,127.70581133290406
Одеська область,2019,133.01464435146443
Житомирська область,2020,132.63088477743176
Київська область,2020,133.78113180098924
Одеська область,2020,131.2200047376525
Запорізька область,2020,130.9957777777778
Рівненська область,2020,135.56704438149197
Львівська область,2019,139.96986321960017
Рівненська область,2019,133.2726971942827
Волинська область,2019,136.1499013806706
Чернівецька область,2019,131.09225395520855
Чернігівська область,2020,134.79443511633485
м.Київ,2020,138.20442238267148
Тернопільська область,2019,136.2924379053947
Донецька область,2019,135.47051316496507
Харківська область,2019,138.54213509683515
Івано-Франківська область,2020,136.67460983386474
Запорізька область,2019,133.23943905817174
Черкаська область,2019,137.6746349269854
Хмельницька область,2020,135.6108715184187
Чернівецька область,2020,133.4536685179772
Закарпатська область,2020,129.91932013769363
Херсонська область,2019,132.2094543387647
Чернігівська область,2019,136.54666535122337
Сумська область,2019,135.93597312703582
Луганська область,2020,132.05077096652877
Полтавська область,2020,133.1554507527662
Хмельницька область,2019,136.5789821061895
Миколаївська область,2020,130.3373423633816
Луганська область,2019,134.04959746981024
Тернопільська область,2020,137.9610456705931
Черкаська область,2020,133.82714495489827
Вінницька область,2020,133.5556752873563
Кіровоградська область,2020,132.492413398225
